Student,Group,DIF_Q1,DIF_Q2,DIF_Q3,DIF_Q4,DIF_Q5,DIF_Q6,DIF_Q7,DIF_Q8,DIF_Q9,DIF_Q10
55,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
56,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
57,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
58,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
60,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
61,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
62,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
63,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
64,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
65,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
66,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
67,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
69,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
70,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
73,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
74,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
75,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
76,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
79,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
80,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
83,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
84,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
87,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
89,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
90,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
91,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
92,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
97,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
99,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
102,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
103,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
104,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
106,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
107,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
108,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
110,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
114,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
115,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
116,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
117,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
119,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
120,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
122,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
123,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
124,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
125,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
126,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
127,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
128,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
129,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
130,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
131,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
132,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
133,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
134,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
135,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
136,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
137,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
138,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
139,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
143,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
145,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
146,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
147,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
148,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
150,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
151,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
153,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
154,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
155,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
156,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
157,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
158,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
159,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
164,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
165,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
166,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
167,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
169,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
173,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
174,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
175,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
176,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
177,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
178,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
179,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
180,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
181,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
182,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
184,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
185,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
187,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
188,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
190,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
191,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
192,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
194,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
195,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
196,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
197,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
198,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
199,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
202,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
203,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
205,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
206,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
207,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
209,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
210,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
211,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
213,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
214,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
218,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
219,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
220,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
221,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
222,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
223,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
224,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
225,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
227,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
228,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
229,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
230,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
231,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
232,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
233,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
235,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
236,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
237,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
238,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
240,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
241,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
242,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
243,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
244,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
246,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
247,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
249,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
250,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
251,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
252,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
253,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
254,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
255,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
256,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
259,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
260,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
262,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
263,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
264,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
265,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
266,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
268,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
269,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
270,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
271,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
272,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
274,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
275,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
276,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
277,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
278,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
279,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
280,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
282,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
283,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
284,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
285,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
286,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
288,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
289,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
290,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
291,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
292,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
293,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
295,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
296,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
297,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
299,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
300,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
301,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
303,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
304,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
305,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
306,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
307,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
309,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
310,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
311,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
312,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
313,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
314,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
